//-Custom Edits-
// ∏  ¿Ã∏ß 	range	scope 	range_IN	rotationFrom 	rotationTo	rotation_IN	altitudeFrom	altitudeTo	altitude_IN
//map_name	zoom_in	zoom_out	default_zoom_at_that_map	??	??	default_rotation	shift_camera_angle_downwards	shift_camera_angle_upwards	default_shift_camera_angle_downwards
1@drdo.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@dth1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@dth2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@dth3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@ecl.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@eom.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@face.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@ge_st.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@gef.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@gef_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@gl_k.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@gl_k2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@gl_kh.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@glast.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@gol1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@gol2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@halo.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@jtb.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@jtb2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@lab.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@lhz.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@ma_b.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@ma_c.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@ma_h.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@mcd.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@md_gef.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@md_pay.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@mir.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@mist.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@nyd.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@orcs.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@os_a.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@os_b.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@os_c.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@pda.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@pdb.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@pop1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@pop2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@pop3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@pump.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@rev.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@rgsr.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@sara.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@slw.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@soul.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@spa.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@sthb.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@sthc.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@sthd.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@summon.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@swat.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@tnm1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@tnm2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@tnm3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@tower.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@uns.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
1@xm_d.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
2@cata.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
2@gl_k.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
2@gl_kh.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
2@mir.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
2@nyd.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
2@orcs.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
2@pump.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
2@tower.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
2007rwc_01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
2007rwc_02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
2007rwc_03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
2007rwc_04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
2007rwc_05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
2007rwc_06.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
2007rwc_07.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
2007rwc_08.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
3@tower.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
4@tower.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
5@tower.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
6@tower.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
abbey01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
abbey02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
abbey03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
abyss_01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
abyss_02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
abyss_03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ac_cl_area.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ac_cl_hall.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ac_cl_room.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ac_en_hall.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ac_library.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
airplane.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
airplane_01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
airport.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
alb_ship.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
alb2trea.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
alberta.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
alberta_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
alde_alche.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
alde_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
alde_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
alde_dun03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
alde_dun04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
alde_gld.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
alde_tt02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
alde_tt03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
aldeba_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
aldebaran.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
aldeg_cas01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
aldeg_cas02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
aldeg_cas03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
aldeg_cas04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
aldeg_cas05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ama_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ama_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ama_dun03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ama_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ama_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ama_in02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ama_st1_a.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ama_test.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
amatsu.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
anthell01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
anthell02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
arena_room.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
aru_gld.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
arug_cas01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
arug_cas02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
arug_cas03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
arug_cas04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
arug_cas05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
arug_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
arug_que01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
auction_01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
auction_02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
auction_03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ayo_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ayo_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ayo_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ayo_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ayo_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ayo_in02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ayothaya.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ayothaya_e.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bat_a01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bat_a02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bat_b01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bat_b02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bat_c01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bat_c02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bat_c03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bat_room.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
beach_dun.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
beach_dun2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
beach_dun3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bif_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bif_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bossnia_01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bossnia_02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bossnia_03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bossnia_04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bra_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bra_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bra_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
bra_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
brasilis.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
c_tower1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
c_tower1_.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
c_tower2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
c_tower2_.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
c_tower3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
c_tower3_.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
c_tower4.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
c_tower4_.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
cave.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
cmd_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
cmd_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
cmd_fild03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
cmd_fild04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
cmd_fild05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
cmd_fild06.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
cmd_fild07.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
cmd_fild08.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
cmd_fild09.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
cmd_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
cmd_in02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
com_d02_i.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
comodo.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
conch_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
dali.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
dali02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
dew_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
dew_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
dew_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
dew_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
dewata.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
dic_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
dic_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
dic_dun03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
dic_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
dic_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
dic_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
dicastes01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
dicastes02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
e_tower.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
eabyss_03h.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ecl_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ecl_hub01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ecl_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ecl_in02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ecl_in03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ecl_in04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ecl_tdun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ecl_tdun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ecl_tdun03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ecl_tdun04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
eclage.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
egef_dun03m.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ein_d02_i.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ein_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ein_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ein_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ein_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ein_fild03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ein_fild04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ein_fild05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ein_fild06.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ein_fild07.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ein_fild08.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ein_fild09.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ein_fild10.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
ein_in01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
einbech.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
einbroch.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
epay_dun00l.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
eque_qsch01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
evt_bomb.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
evt_coke.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
evt_hello.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
evt_xmas.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
evt_zombie.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
force_1-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
force_1-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
force_1-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
force_2-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
force_2-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
force_2-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
force_3-1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
force_3-2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
force_3-3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
force_map1.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
force_map2.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
force_map3.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gbt_map01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gbt_map02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gbt_map03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_d01_i.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_dun00.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_dun02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_dun03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_fild00.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_fild01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_fild02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_fild03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_fild04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_fild05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_fild06.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_fild07.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_fild08.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_fild09.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_fild10.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_fild11.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_fild12.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_fild13.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_fild14.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gef_tower.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gefenia01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gefenia02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gefenia03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gefenia04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
geffen.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
geffen_in.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gefg_cas01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gefg_cas02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gefg_cas03.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gefg_cas04.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gefg_cas05.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_cas01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_cas01_.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_cas02.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_cas02_.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_church.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_chyard.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_chyard_.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
gl_dun01.rsw#	10#	1200#	500#	-360#	360#	0#	-1#	-66#	-65#
